code,name_pt,name_en,end_use,sterile_at_import,unit_value_usd,gross_weight,net_weight;;;;;;;;;;;
18616, Pé de Borracha Auto-Adesivo Redondo Transparente ,Clear Self-Adhesive Rubber Foot,Replacement part for maintenance of veterinary animal reproduction equipment.,NO,0.15,0.0006,0.0005;;;;;;;;;;;
10544, Passador de Fio em borracha ,Rubber Wire Grommet ,Replacement part for maintenance of veterinary animal reproduction equipment.,NO,0.17,0.002,0.001;;;;;;;;;;;
27193, Selo de Garantia Redondo - Casca de Ovo,Round Warranty Seal,Replacement part for maintenance of veterinary animal reproduction equipment.,NO,0.11,0.002,0.001;;;;;;;;;;;
15667,Rebite Com Rosca M5 Cabeça Fina Corpo Recartilhado,M5 Knurled Rivet Nut,Replacement part for maintenance of veterinary animal reproduction equipment.,NO,0.03,0.0001,0.0001;;;;;;;;;;;
15668, Parafuso Inox com Cabeça Abaulada Allen M05 x 16mm,16 mm Button Head Allen Screw,Replacement part for maintenance of veterinary animal reproduction equipment.,NO,0.05,0.0003,0.0002;;;;;;;;;;;
10482,Arruela para M3,M3  Flat Washer,Replacement part for maintenance of veterinary animal reproduction equipment.,NO,0.02,0.007,0.006;;;;;;;;;;;
15635, Sensor de Temperatura Digita, Digital Temperature Sensor,Replacement part for maintenance of veterinary animal reproduction equipment.,NO,0.72,0.002,0.001;;;;;;;;;;;
10985,Sensor de temperatura LM35,LM35 Temperature Sensor,Replacement part for maintenance of veterinary animal reproduction equipment.,NO,1.27,0.0002,0.0002;;;;;;;;;;;
12853,Conexão Pneumática Inox Derivação Dupla (c/ 2 Espigões),Pneumatic Tee Connector,Replacement part for maintenance of veterinary animal reproduction equipment.,NO,6.58,0.005,0.004;;;;;;;;;;;
12032,Conexão Saída Única WTA,WTA Single Outlet Connector,Replacement part for maintenance of veterinary animal reproduction equipment.,NO,2.81,0.005,0.003;;;;;;;;;;;
"13081,""Tubo de Poliuretano Atoxico Natural 6,0 x 3,8 mm"",Natural Polyurethane Tube 6.0 × 3.8 mm,Replacement part for maintenance of veterinary animal reproduction equipment.,NO,0.71,0.04,0.03";;;;;;;;;;;
12854,Conexão Pneumática Inox Derivação Simples (c/ 1 Espigão,Pneumatic Straight Connector,Replacement part for maintenance of veterinary animal reproduction equipment.,NO,4.24,0.029,0.028;;;;;;;;;;;
"20068,""Cabo Flexível 0,50 mm²  Cobre Estanhado Verde"",0.50 mm² Green Tinned Copper Cable,Replacement part for maintenance of veterinary animal reproduction equipment.,NO,0.3,0.0147,0.0147";;;;;;;;;;;
18850,Fita Adesiva Metalizada Para Emenda Da Manta Térmica,Metalized Adhesive Tape for Heating Blanket Splice,Replacement part for maintenance of veterinary animal reproduction equipment.,NO,1.32,0.1,0.1;;;;;;;;;;;
26026,Pasta Térmica Thermal Silver,Thermal Silver Compound,Replacement part for maintenance of veterinary animal reproduction equipment.,NO,7.25,0.52,0.05;;;;;;;;;;;
10010, Parafuso Inox Allen com Cabeça Cilindrica M03 X 20mm,M3 × 20 mm  Socket Head Cap Screw,Replacement part for maintenance of veterinary animal reproduction equipment.,NO,0.02,0.0001,0.0001;;;;;;;;;;;
21918,Fita 3M ,3M Thermal Pad White 210 × 300 × 1 mm,Replacement part for maintenance of veterinary animal reproduction equipment.,NO,0.17,0.001,0.001;;;;;;;;;;;
12953,Conjunto do Puxador do Descongelador Injetado,Molded Defroster Handle Assembly,Replacement part for maintenance of veterinary animal reproduction equipment.,NO,0.15,0.0002,0.0001;;;;;;;;;;;
23218, Display OLed,Blue OLED Display,Replacement part for maintenance of veterinary animal reproduction equipment.,NO,4.7,0.0002,0.0001;;;;;;;;;;;
14117,Conexão de Plástico Colder HT5 5/32 HB ,HT5 Plastic Coupling,Replacement part for maintenance of veterinary animal reproduction equipment.,NO,1.58,0.0012,0.0012;;;;;;;;;;;
12852, Conexão Pneumática Inox Espigão X Macho M5,Pneumatic Hose Barb x M5 Male Connector,Replacement part for maintenance of veterinary animal reproduction equipment.,NO,3.35,0.0003,0.0002;;;;;;;;;;;
13402, Conexão de Inox Painel Mangueira,Panel Mount Hose Connector 6.35 mm x M5 Female Thread,Replacement part for maintenance of veterinary animal reproduction equipment.,NO,4.28,0.0001,0.0001;;;;;;;;;;;
22804, Sinalizador ZD led olho de boi vermelho, 12V Red LED Indicator,Replacement part for maintenance of veterinary animal reproduction equipment.,NO,1.78,0.0001,0.0001;;;;;;;;;;;
25308,- Botão Antivandalismo,- 16 mm Anti-Vandal Push Button,Replacement part for maintenance of veterinary animal reproduction equipment.,NO,3.85,0.0001,0.0001;;;;;;;;;;;
11562,Botão da Válvula Controladora de Fluxo,Flow Control Valve Knob,Replacement part for maintenance of veterinary animal reproduction equipment.,NO,7.36,0.0002,0.0002;;;;;;;;;;;
11566,Válvula Controladora de Fluxo WTA,Válvula Controladora de Fluxo WTA,Replacement part for maintenance of veterinary animal reproduction equipment.,NO,19.83,0.0003,0.0003;;;;;;;;;;;
11377, Sensor de Pressão MPX5100DP,Pressure Sensor MPX5100DP,Replacement part for maintenance of veterinary animal reproduction equipment.,NO,17.39,0.006,0.005;;;;;;;;;;;
25376,Parafuso Tampa da Bateria do Transportador Série V,Screw  Cover do Transporter Series V,Replacement part for maintenance of veterinary animal reproduction equipment.,NO,3.66,0.0001,0.0001;;;;;;;;;;;
"14669,""Chicote S2SD 40 Vias 23"""" Single Ended Samtec "",Cable Harness S2SD 40,Replacement part for maintenance of veterinary animal reproduction equipment.,NO,32.09,0.0001,0.0001";;;;;;;;;;;
"15882,""Chicote S2SD 20 Vias 23"""" Single Ended Samtec"",Cable Harness S2SD 20,Replacement part for maintenance of veterinary animal reproduction equipment.,NO,19.57,0.0001,0.0001";;;;;;;;;;;
17215,Led Bicolor 3mm, Bi-color LED 3mm,Replacement part for maintenance of veterinary animal reproduction equipment.,NO,0.2,0.003,0.002;;;;;;;;;;;
14003,Fechamento Tubo Injetado B,Injection Molded Tube Closure B,Replacement part for maintenance of veterinary animal reproduction equipment.,NO,0.4,0.0001,0.0001;;;;;;;;;;;
13038,Alça do Descongelador Injetada,Injection Molded Defroster Handle,Replacement part for maintenance of veterinary animal reproduction equipment.,NO,0.43,0.0001,0.0001;;;;;;;;;;;
19518,Conjunto da Tampa do Descongelador DSPM ,Defroster Cover Assembly DSPM,Replacement part for maintenance of veterinary animal reproduction equipment.,NO,1.51,0.0002,0.0001;;;;;;;;;;;
14002,Fechamento Tubo Injetado A,Injection Molded Tube Closure A,Replacement part for maintenance of veterinary animal reproduction equipment.,NO,1.57,0.0001,0.0001;;;;;;;;;;;
"24689,"" Chicote Conector P4 Fêmea Painel Modelo DC-022 ( redondo ) 2,1mm"",Cable Harness Connector P4 Female Panel Mount Model DC-022,Replacement part for maintenance of veterinary animal reproduction equipment.,NO,0.67,0.0001,0.0001";;;;;;;;;;;
24690,Chicote Cabo Tipo Manga 3 Vias x 26 AWG com Blindagem Preto,Cable Harness Cable Sleeved 3 Way x 26 AWG Shielded Black,Replacement part for maintenance of veterinary animal reproduction equipment.,NO,5.75,0.0001,0.0001;;;;;;;;;;;
"34343,Camisa para Haste do Mandril de Guias ,Sleeve for Guide Mandrel Shaft,""External mandrel alignment guide, integral equipment component designed to ensure proper positioning and operation of the assembly./Veterinary use.Country of Origin: Brazil"",NO,9.54,0.2,0.2";;;;;;;;;;;
"31035,Bolsa para Transporte - Descongelador,Semen and Embryo Thawing Bag ,""Practical bag for transporting veterinary supplies.";;;;;;;;;;;
"Material: Nylon. Country of origin: Brazil"",NO,28.8,0.892,0.89";;;;;;;;;;;
"18955,""novulador para Embriões 0,50 - Trava Automática de Plástico"",ET Gun 0.50 - Automatic Plastic Lock - Blue,Used to inseminate semen into cow/Veterinary use.Country of Origin: Brazil,NO,54,0.07,0.05";;;;;;;;;;;
30383,Suporte Placa Carregadora UPS 1.01 Injetado,Injection Molded Plastic Support for Circuit Board,Replacement part for maintenance of veterinary animal reproduction equipment.,NO,0.27,0.0006,0.0005;;;;;;;;;;;
27912,Avental Fechado Bordado,Embroidered Open Apron,Waterproof nylon apron to protect the user from dirt and fluids during animal procedures/veterinary use.Country of Origin: Brazil (BR),NO,153.3,0.32,0.31;;;;;;;;;;;
27495,Rack de Alumínio para 2 Placas Petri de 35mm,Rack for 2 Petri Dish - 35mm ,Used to keep tube warmer/Veterinary use.Aluminum Cast Country: Brazil (BR),NO,100.01,0.1,0.09;;;;;;;;;;;
20981,Mandril Leve para Guia de Aspiração,Lightweight Chuck for Suction Guide,Item used as a consumable interface in portable animal husbandry equipmentCountry of Origin: Brazil (BR),NO,109.5,0.05,0.035;;;;;;;;;;;
"28771,"" Aplicador de Sêmen 0,25 para Novilha com Trava Automática de Plástico - Vermelho"",Universal Semen Applicator Heifers with Automatic Plastic Lock - Red ,Veterinary instrument used for artificial insemination procedures in heifers. Intended exclusively for livestock reproductive management. Not for human medical use.Country of Origin: Brazil (BR),NO,30.11,0.06,0.035";;;;;;;;;;;
21710,Suporte Impresso Placa Rev: 04/10 V6 -,3D-Printed PCB Support – Rev 04/10 V6,Replacement part for maintenance of veterinary animal reproduction equipment.,NO,2.1,0.0002,0.0001;;;;;;;;;;;
"16008,"" Bucha de Poliacetal 8,0 x 3,1 x 5,0 mm"",Polyacetal Bushing 8.0 x 3.1 x 5.0 mm,Items used for maintenance on veterinary equipment.,NO,3.4,0.0002,0.0001";;;;;;;;;;;
18819, Arruela de Adaptação para Botão ,Button Adapter Washer,Replacement part for maintenance of veterinary animal reproduction equipment.,NO,6.71,0.0003,0.0002;;;;;;;;;;;
11040,Botão 2 posições Preto sem retenção,2-Position Black Momentary Switch (Non-Latching),Replacement part for maintenance of veterinary animal reproduction equipment.,NO,1.82,0.0002,0.0001;;;;;;;;;;;
21953, Trava do Acabamento e Fixação para LED 3mm,3 mm LED Mounting Clip (Holder and Retainer),Items used for maintenance on veterinary equipment.,NO,0.15,0.001,0.001;;;;;;;;;;;
"10983,Microcontrolador PIC 16F876A,""Microcontroller PIC16F876A, integrated circuit used for control applications"",Replacement part for maintenance of veterinary animal reproduction equipment.,NO,5.89,0.003,0.002";;;;;;;;;;;
10995,Display LCD 16X2 com backlight azul,16x2 LCD Display with Blue Backlight,Replacement part for maintenance of veterinary animal reproduction equipment.,NO,17.7,0.025,0.0225;;;;;;;;;;;
"12067, Conector P4 Fêmea Painel Modelo DC-022,""DC Power Jack (P4) Female Panel Mount, Model DC-022, 2.1 mm (Round)"",Replacement part for maintenance of veterinary animal reproduction equipment.,NO,0.22,0.0002,0.0002";;;;;;;;;;;
17215,- Led Bicolor 3mm,3 mm Bi-Color LED,Items used for maintenance on veterinary equipment.,NO,0.18,0.003,0.002;;;;;;;;;;;
15692, Conector Fêmea para Placa 3 Posições,3-Pin Female PCB Connector,Replacement part for maintenance of veterinary animal reproduction equipment.,NO,0.07,0.003,0.002;;;;;;;;;;;
11041, Botão 3 Posições Preto ,3-Position Black Switch,Items used for maintenance on veterinary equipment.,NO,0.94,0.0033,0.0033;;;;;;;;;;;
23010,Placa Eletrônica Carregador ,Electronic UPS Charger Board Assembly (Version 1.1.0) – Revision B0,Replacement part for maintenance of veterinary animal reproduction equipment.,NO,38.87,0.004,0.003;;;;;;;;;;;
"15031,Placa Eletrônica REV: 04/10 V6,""Electronic UPS Charger Board Assembly (Version 1.1.0), used for power supply and battery charging control"",Items used for maintenance on veterinary equipment.,NO,3.4,0.05,0.075";;;;;;;;;;;
"18958,""Inovulador para Embriões 0,50 - Trava Automática de Plástico - Vermelho"",""Transfer guns for  ET 0,50Automatic Lock reed"",Used to inseminate semen into cow/Veterinary use.Country of Origin: Brazil,NO,54,0.07,0.05";;;;;;;;;;;
23058, Descongelador (Personalizado) de Sêmen e Embriões ,Thaw Unit Custom Pink-Farm,Thaw unit for farm semen/embryos,NO,201.75,1.018,0.9;;;;;;;;;;;
26226,Acabamento de Borda Display, Edge Finishing Display,Parts for apparatus of heading 8536/8537                                      ,NO,0.85,0.0422,0.042;;;;;;;;;;;
26489, Inferior da Camisa do Bloco Transportador Série V ,Lower Liner of the V-Series Conveyor Block,Other articles of plastics                                                    ,NO,0,0.0089,0.0088;;;;;;;;;;;
20883,Contato para bateria - 1017-1,Battery contact ,Other electrical apparatus for switching                                      ,NO,0.22,0.0005,0.0004;;;;;;;;;;;
13439, Fita Adesiva de  EVA  50 x 3 mm,EVA Adhesive Tape 50 x 3 mm,Self-adhesive plates/sheets/tapes of plastics                                 ,NO,1,0.0133,0.0133;;;;;;;;;;;
11038,Fita Adesiva de  EVA  40 x 6 mm,EVA Adhesive Tape 40 x 6 mm,Replacement part for maintenance of veterinary animal reproduction equipment.                                 ,NO,0.66,0.0127,0.0127;;;;;;;;;;;
"11120,"" Terminal Ilhos 1,50mm"",1.50mm Eyelet Terminal,Other electrical apparatus for switching                                      ,NO,0.03,0.0004,0.0003";;;;;;;;;;;
14397, Kit para Umidificação da Incubadora EVE,EVE Incubator Humidification Kit,Parts of heating/cooling equipment                                            ,NO,14.29,0.165,0.16;;;;;;;;;;;
"29649,""- Anel Oring 4,00 mm int x Ø 1,00 mm"",Oring Ring 4.00 mm int x Ø 1.00 mm,""Gaskets, washers and other seals of rubber                                    "",NO,0.96,0.0002,0.0001";;;;;;;;;;;
"30583,Anel de Silicone para Transportadores Serie V, Silicone Ring for V Series Conveyors,""Gaskets, washers and other seals of rubber                                    "",NO,2.27,0.0052,0.005";;;;;;;;;;;
"28226,"" Acabamento de Borda Display OLED 2,42"",Edge Finish 2.42 OLED Display,Items used for maintenance on veterinary equipment.,NO,0,0.0422,0.042";;;;;;;;;;;
"15634,""Terminal Ilhos 0,50mm"",0.50mm Eyelet Terminal,Replacement part for maintenance of veterinary animal reproduction equipment.                                     ,NO,0.01,0.0001,0.0001";;;;;;;;;;;
"13715,""Terminal Ilhos 2,50mm"",2.50mm Eyelet Terminal,Replacement part for maintenance of veterinary animal reproduction equipment.                                    ,NO,0.02,0.0008,0.0008";;;;;;;;;;;
24372,Módulo Bluetooth Redbear WTA,Redbear WTA Bluetooth Module,Replacement part for maintenance of veterinary animal reproduction equipment.,NO,0.96,0.0012,0.001;;;;;;;;;;;
"21292,"" Anel Oring Ø 8,40 mm int. x 1,80 mm de seção"",O-ring Ø 8.40 mm inner diameter x 1.80 mm cross-section,""Gaskets, washers and other seals of rubber                                    "",NO,2.96,0.0002,0.0001";;;;;;;;;;;
10386,Terminal fêmea 6.6 mm p/ cabo 1.0 mm2 (vermelho),6.6 mm female terminal for 1.0 mm² cable (red),Other electrical apparatus for switching                                    ,NO,0.09,0.0006,0.0006;;;;;;;;;;;
"34019,Anel Elastico Din 6799 Eixo 5mm,Elastic Ring,""Gaskets, washers and other seals of rubber      "",NO,0.1,0.0006,0.0005";;;;;;;;;;;
24498, Fechamento Inferior da Mesa Aquecedora New,Lower Closure for New Heating Table,Parts of heating equipment .Replacement part for maintenance of veterinary animal reproduction equipment.                                                 ,NO,5.46,0.115,0.11;;;;;;;;;;;
18616,Pé de Borracha Auto-Adesivo Redondo Transparente, Round Transparent Self-Adhesive Rubber Foot,Other articles of vulcanized rubber           ,NO,0.34,0.0006,0.0005;;;;;;;;;;;
18007,Pushbutton ,Pushbutton ,Replacement part for maintenance of veterinary animal reproduction equipment.                       ,NO,7.62,0.0006,0.0005;;;;;;;;;;;
10226, Pé de Borracha - 3M,Rubber Foot - 3M,Other articles of vulcanized rubber       ,NO,0.47,0.0002,0.0001;;;;;;;;;;;
"30356,"" Acrílico de Proteção do OLED 2,42"",Items used for maintenance on veterinary equipment.,Other articles of plastics                                                    ,NO,1.35,0.0002,0.0001";;;;;;;;;;;
12405, Acabamento Plástico de Fixação do Display LCD 16 x 2,Plastic Finish for Fixing the 16 x 2 LCD Display,Replacement part for maintenance of veterinary animal reproduction equipment.     ,NO,0.5,0.0002,0.0001;;;;;;;;;;;
15066,- Conexão de Plástico (Y sem rosca) - HY8,Plastic Connection (Y without thread) - HY8,Items used for maintenance on veterinary equipment.Other articles of plastics                                                    ,NO,4.06,0.05,0.04;;;;;;;;;;;
27900, Conector de Inox Luer Lock,Stainless steel Luer Lock connector,Items used for maintenance on veterinary equipment.,NO,1.7,0.0005,0.0002;;;;;;;;;;;
"15933,Dispositivo Endometrix,Endometrix ,""Collection device for infection inspection; for exclusive use in bovine procedures. New, unused product/for veterinary use. Country of origin: Brazil"",NO,102.24,0.25,0.245";;;;;;;;;;;
18483,Aquecedor de Filtro,Filter warmer,Tube or filter heater for veterinary and laboratory use. Keeps biological samples at a constant temperature during transport or procedures.veterinary use only,NO,0,1.8,0.905;;;;;;;;;;;
"29398,Aquecedor de Bolso para tubo de 50 mL com bateria - Preto,Pocket Heater  - BLACK,""Portable device for maintaining temperature of laboratory collection tubes (50 mL). Used in animal handling environments to preserve sample stability during field operations. Compact, reusable, and easy to operate. Non-medical device, not intended for human use.veterinary use only"",NO,200,0.64,0.18";;;;;;;;;;;
29938,Aquecedor de Bolso para tubo de 50 mL com bateria - Preto,Pocket Warmer with battery for 50 mL tube - Black ,Used keep 50ml tubes in oocyte collection,NO,0,0.64,0.18;;;;;;;;;;;
"29396,Aquecedor de Bolso para tubo de 50 mL com bateria - Laranja,Pocket Heater Blue - ORANGE,""Portable device for maintaining temperature of laboratory collection tubes (50 mL). Used in animal handling environments to preserve sample stability during field operations. Compact, reusable, and easy to operate. Non-medical device, not intended for human use.veterinary use only.Country of Origin: Brazil"",NO,200,0.64,0.18";;;;;;;;;;;
"29394,Aquecedor de Bolso com Bateria para Tubo de 50 mL -AZUL,Pocket Tube Heater - Blue,""Portable device for maintaining temperature of laboratory collection tubes (50 mL). Used in animal handling environments to preserve sample stability during field operations. Compact, reusable, and easy to operate. Non-medical device, not intended for human use.veterinary use only.Country of Origin: Brazil"",NO,200,0.64,0.18";;;;;;;;;;;
21424,Termistor Sensor de Temperatura,Thermistor Temperature Sensor,Replacement part for maintenance of veterinary animal reproduction equipment.                                  ,NO,0.23,0.0001,0.0001;;;;;;;;;;;
11934,Diodo Led 3mm emissor de luz Verde,3mm Green LED,Replacement part for maintenance of veterinary animal reproduction equipment.,NO,0.05,0.0001,0.0001;;;;;;;;;;;
23055,Filtro Hidrofóbico,Hydrophobic Filter,Items used for maintenance on veterinary equipment.Filtering/purifying machinery for liquids                                     ,NO,2.8,0.003,0.002;;;;;;;;;;;
"14809,Rolha de Aluminio Da EVE VERMELHO-005 POLIDO BRILHANTE,""EVE Aluminum Stopper, Red-005, Polished Shine"",Items used for maintenance on veterinary equipment.Other articles of aluminum                                                    ,NO,37.74,0.002,0.001";;;;;;;;;;;
16837,Arruela Frontal de Adaptação Conector P4,Front Adapter Washer for P4 Connector,Items used for maintenance on veterinary equipment.                                       ,NO,0.1,0.0002,0.0001;;;;;;;;;;;
30192, Placa Eletrônica Montada para BV-005 ,Assembled Electronic Board for BV-005,Boards for electrical control                                                 ,NO,126.6,0.05,0.045;;;;;;;;;;;
23009,Placa Eletrônica Controladora Geni,Geni Electronic Controller Board,Replacement part for maintenance of veterinary animal reproduction equipment.                                ,NO,45.47,0.2,0.18;;;;;;;;;;;
26523,Anel do Intermediário do Transportador Série V,Intermediate Ring for V Series Conveyor,Other articles of plastic,NO,2.22,0.011,0.01;;;;;;;;;;;
26486,Camisa do Bloco Transportador Série V 2020,Shirt of the Series V Transport Block,Other articles of plastic,NO,44.53,0.0089,0.0088;;;;;;;;;;;
21950, Lacre de Garantia Retangular - Casca de Ovo,Rectangular Warranty Seal - Eggshell,Replacement part for maintenance of veterinary animal reproduction equipment.,NO,0.15,0.002,0.001;;;;;;;;;;;
"21901,""Disco de Acrílico Transparente Ø 54,5mm x 3mm de espessura "",Transparent Acrylic Disc Ø 54.5mm x 3mm thick,Replacement part for maintenance of veterinary animal reproduction equipment.                         ,NO,3.23,0.002,0.001";;;;;;;;;;;
"30228,""Disco de Acrílico Transparente Ø 54,5mm x 3mm de espessura"",Transparent Acrylic Disc Ø 54.5mm x 3mm thick,Replacement part for maintenance of veterinary animal reproduction equipment.                            ,NO,0.33,0.0004,0.0003";;;;;;;;;;;
32254,Conversor de tensão step-up,Step-up voltage converter,Static converters(DC/DC),NO,4.97,0.011,0.01;;;;;;;;;;;
29607, Intermediário da Lab Mix Série V,Laboratory Equipment Connector,Item used in the assembly and maintenance of veterinary medical equipment.,NO,8.15,0.09,0.085;;;;;;;;;;;
33651, Intermediário da LabMix Série V - Thermos,Laboratory Equipment Connector (Thermos Model,Parts of electrical apparatus for switching or protecting electrical .,NO,24.01,0.115,0.11;;;;;;;;;;;
32882,Incubadora de Bancada EVE 6 Câmaras,Benchtop Incubator EVE – Farm IVF 6 cameras ,Benchtop incubator for farm-side IVF,NO,9615.38,30.27,23.34;;;;;;;;;;;
"29904,- Aplicador para Transferência de Embriões em Marmoset,Embryo Transfer Applicator Designed for Marmosets, For agricultural use only; not for medical use,NO,28,0.012,0.01";;;;;;;;;;;
"29904,- Aplicador para Transferência de Embriões em Marmoset,Embryo Transfer Applicator Designed for Marmosets,For agricultural use only; not for medical use,NO,28,0.012,0.01";;;;;;;;;;;
"25958,Válvula Submersa para Gado (Sem Boia) ,Submerged Valve For Livestock,""Automatically Used to Maintain Water Levels in Livestock";;;;;;;;;;;
"Tanks"",NO,30,0.06,0.055";;;;;;;;;;;
33920,Agulha de Equino Duplo Fluxo 16G Scraper  - (Embal),Equine Double-Flow Follicular Aspiration System 16 G,OPU mandrel tip for veterinary follicular aspiration in horses / for veterinary use,NO,6.97,0.032,0.0255;;;;;;;;;;;
"27499,Rack para Placa de Petri 60mm,Rack for Petri Dish - 60mm,""Support for 60mm plates, used as an accessory during the preparation and screening of animal samples in farm handling operations for exclusively agricultural use; not intended for medical use.Aluminum Cast Country: Brazil.'(BR)"",NO,100.01,0.08,0.075";;;;;;;;;;;
